Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,8,23,17,1,Y
IDCJAC0010,A764,2017,8,24,17.2,1,Y
IDCJAC0010,A764,2017,8,25,16.3,1,Y
IDCJAC0010,A764,2017,8,26,17.3,1,Y
IDCJAC0010,A764,2017,8,27,17.7,1,Y
IDCJAC0010,A764,2017,8,28,17.6,1,Y
IDCJAC0010,A764,2017,8,29,17.6,1,Y
IDCJAC0010,A764,2017,8,30,17.9,1,Y
IDCJAC0010,A764,2017,8,31,20,1,Y
IDCJAC0010,A764,2017,9,1,16.6,1,Y
IDCJAC0010,A764,2017,9,2,17.5,1,Y
IDCJAC0010,A764,2017,9,3,16.7,1,Y
IDCJAC0010,A764,2017,9,4,15.6,1,Y
IDCJAC0010,A764,2017,9,5,16.3,1,Y
IDCJAC0010,A764,2017,9,6,17.3,1,Y
IDCJAC0010,A764,2017,9,7,17.4,1,Y
IDCJAC0010,A764,2017,9,8,18.9,1,Y
IDCJAC0010,A764,2017,9,9,19,1,Y
IDCJAC0010,A764,2017,9,10,18.6,1,Y
IDCJAC0010,A764,2017,9,11,18.9,1,Y
IDCJAC0010,A764,2017,9,12,20.4,1,Y
IDCJAC0010,A764,2017,9,13,19.6,1,Y
IDCJAC0010,A764,2017,9,14,18.9,1,Y
IDCJAC0010,A764,2017,9,15,19.7,1,Y
IDCJAC0010,A764,2017,9,16,18,1,Y
IDCJAC0010,A764,2017,9,17,18.9,1,Y
IDCJAC0010,A764,2017,9,18,19.1,1,Y
IDCJAC0010,A764,2017,9,19,20.1,1,Y
IDCJAC0010,A764,2017,9,20,19.5,1,Y
IDCJAC0010,A764,2017,9,21,19.3,1,Y
IDCJAC0010,A764,2017,9,22,19.7,1,Y
IDCJAC0010,A764,2017,9,23,19.2,1,Y
IDCJAC0010,A764,2017,9,24,19.5,1,Y
IDCJAC0010,A764,2017,9,25,18.3,1,Y
IDCJAC0010,A764,2017,9,26,18.2,1,Y
IDCJAC0010,A764,2017,9,27,20.1,1,Y
IDCJAC0010,A764,2017,9,28,19.1,1,Y
IDCJAC0010,A764,2017,9,29,19.9,1,Y
IDCJAC0010,A764,2017,9,30,18.1,1,Y
IDCJAC0010,A764,2017,10,1,15.1,1,Y
IDCJAC0010,A764,2017,10,2,17,1,Y
